mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
15.7609,0,race_to_bottom,-0.9709,0.9709,0.0000,0.000,2.87236e+06,4.80271e+06,0,8.3591e+08,8.3784e+08,6.70272e+08,1.67568e+08,52.385,0,nan,0,0,2.87236e+06,52.385,50,54831.7,1.0000,0.9196,0.9590,0.9787,1.0000,0.9681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0,race_to_bottom,-0.6919,0.6919,0.0000,0.000,2.32811e+08,4.1911e+06,0,7.94634e+08,5.66014e+08,4.52811e+08,1.13203e+08,4245.92,0,nan,0,0,2.32811e+08,4245.92,50,54831.7,0.6262,0.6525,0.6885,0.7249,0.8015,0.6580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.02,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40506e+07,5.79039e+06,0,9.56183e+08,9.96024e+08,7.96819e+08,1.99205e+08,-621.002,0,nan,0,0,-3.40506e+07,-621.002,50,54831.7,1.0000,1.0000,0.9999,0.9998,0.9999,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.4053e+07,5.79131e+06,0,9.56263e+08,9.96107e+08,7.96886e+08,1.99221e+08,-621.046,0,nan,0,0,-3.4053e+07,-621.046,50,54831.7,1.0000,0.9999,1.0000,1.0000,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40538e+07,5.79163e+06,0,9.56291e+08,9.96136e+08,7.96909e+08,1.99227e+08,-621.061,0,nan,0,0,-3.40538e+07,-621.061,50,54831.7,1.0000,0.9995,0.9997,0.9999,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0.0344828,race_to_bottom,-0.9998,0.9998,0.0000,0.000,-3.40556e+07,5.7923e+06,0,9.56349e+08,9.96196e+08,7.96957e+08,1.99239e+08,-621.093,0,nan,0,0,-3.40556e+07,-621.093,50,54831.7,1.0000,1.0000,0.9998,0.9997,1.0000,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40557e+07,5.79238e+06,0,9.56355e+08,9.96203e+08,7.96963e+08,1.99241e+08,-621.096,0,nan,0,0,-3.40557e+07,-621.096,50,54831.7,1.0000,0.9995,1.0000,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40568e+07,5.79278e+06,0,9.5639e+08,9.9624e+08,7.96992e+08,1.99248e+08,-621.116,0,nan,0,0,-3.40568e+07,-621.116,50,54831.7,1.0000,0.9999,1.0000,0.9994,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40573e+07,5.79297e+06,0,9.56407e+08,9.96257e+08,7.97006e+08,1.99251e+08,-621.125,0,nan,0,0,-3.40573e+07,-621.125,50,54831.7,1.0000,0.9999,1.0000,0.9998,0.9998,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,-3.40581e+07,5.79328e+06,0,9.56433e+08,9.96284e+08,7.97027e+08,1.99257e+08,-621.139,0,nan,0,0,-3.40581e+07,-621.139,50,54831.7,1.0000,0.9998,1.0000,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
