mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
9.7878,0.103448,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.01398e+08,5.61075e+06,0,1.17471e+09,9.78921e+08,7.83137e+08,1.95784e+08,3673.03,0,nan,0,0,2.01398e+08,3673.03,50,54831.7,1.0000,1.0000,1.0000,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12.4203,0.103448,race_to_bottom,-0.9999,0.9999,0.0000,0.000,1.96537e+08,5.42734e+06,0,1.14666e+09,9.55547e+08,7.64437e+08,1.91109e+08,3584.36,0,nan,0,0,1.96537e+08,3584.36,50,54831.7,1.0000,1.0000,0.9997,0.9999,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15.7609,0.103448,race_to_bottom,-0.9319,0.9421,0.0102,0.000,2.44904e+08,4.67005e+06,4940.66,1.02943e+09,7.89199e+08,6.31359e+08,1.5784e+08,4466.46,3.65979e+06,8278.33,0.508333,557.455,2.41244e+08,4444.17,49.4917,54274.2,0.9702,0.8918,0.9067,0.9471,0.9815,0.9553,0.0000,0.0260,0.0000,0.0000,0.0000,0.0353
20,0.103448,race_to_bottom,-0.7421,0.7555,0.0134,0.000,3.82758e+08,4.21404e+06,2723.5,9.89818e+08,6.11276e+08,4.89021e+08,1.22255e+08,6980.61,9.7776e+06,13804.4,0.6625,726.519,3.72981e+08,6904.78,49.3375,54105.1,0.6964,0.6461,0.8844,0.8115,0.8197,0.6750,0.0274,0.0000,0.0000,0.0000,0.0000,0.0533
0.02,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.04983e+08,5.78973e+06,0,1.19516e+09,9.95965e+08,7.96772e+08,1.99193e+08,3738.4,0,nan,0,0,2.04983e+08,3738.4,50,54831.7,1.0000,0.9999,0.9998,0.9996,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0253792,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05003e+08,5.79082e+06,0,1.19528e+09,9.96063e+08,7.9685e+08,1.99213e+08,3738.78,0,nan,0,0,2.05003e+08,3738.78,50,54831.7,1.0000,0.9996,1.0000,0.9999,1.0000,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0322052,0.137931,race_to_bottom,-0.9997,0.9997,0.0000,0.000,2.05012e+08,5.79126e+06,0,1.19532e+09,9.96103e+08,7.96883e+08,1.99221e+08,3738.93,0,nan,0,0,2.05012e+08,3738.93,50,54831.7,1.0000,0.9997,0.9999,0.9987,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0408672,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0503e+08,5.79223e+06,0,1.19543e+09,9.9619e+08,7.96952e+08,1.99238e+08,3739.27,0,nan,0,0,2.0503e+08,3739.27,50,54831.7,1.0000,0.9999,0.9997,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0518589,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05039e+08,5.79268e+06,0,1.19548e+09,9.9623e+08,7.96984e+08,1.99246e+08,3739.42,0,nan,0,0,2.05039e+08,3739.42,50,54831.7,1.0000,0.9998,0.9998,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0658069,0.137931,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0504e+08,5.79275e+06,0,1.19548e+09,9.96237e+08,7.96989e+08,1.99247e+08,3739.45,0,nan,0,0,2.0504e+08,3739.45,50,54831.7,1.0000,1.0000,0.9999,0.9999,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0835064,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.7929e+06,0,1.1955e+09,9.96251e+08,7.97001e+08,1.9925e+08,3739.5,0,nan,0,0,2.05043e+08,3739.5,50,54831.7,1.0000,0.9999,1.0000,1.0000,0.9998,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.105966,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05047e+08,5.79313e+06,0,1.19553e+09,9.96271e+08,7.97017e+08,1.99254e+08,3739.58,0,nan,0,0,2.05047e+08,3739.58,50,54831.7,1.0000,0.9999,1.0000,0.9999,0.9997,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.134467,0.137931,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05048e+08,5.79317e+06,0,1.19553e+09,9.96275e+08,7.9702e+08,1.99255e+08,3739.6,0,nan,0,0,2.05048e+08,3739.6,50,54831.7,1.0000,1.0000,0.9996,1.0000,0.9995,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.170634,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0505e+08,5.79327e+06,0,1.19554e+09,9.96284e+08,7.97027e+08,1.99257e+08,3739.63,0,nan,0,0,2.0505e+08,3739.63,50,54831.7,1.0000,0.9997,1.0000,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.216527,0.137931,race_to_bottom,-0.9998,0.9998,0.0000,0.000,2.05059e+08,5.79385e+06,0,1.19559e+09,9.96324e+08,7.97059e+08,1.99265e+08,3739.78,0,nan,0,0,2.05059e+08,3739.78,50,54831.7,1.0000,0.9996,0.9997,0.9996,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.274765,0.137931,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05053e+08,5.79371e+06,0,1.19555e+09,9.96295e+08,7.97036e+08,1.99259e+08,3739.68,0,nan,0,0,2.05053e+08,3739.68,50,54831.7,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.348666,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05062e+08,5.79403e+06,0,1.19561e+09,9.9634e+08,7.97072e+08,1.99268e+08,3739.85,0,nan,0,0,2.05062e+08,3739.85,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9995,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.442443,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05055e+08,5.79379e+06,0,1.19557e+09,9.96305e+08,7.97044e+08,1.99261e+08,3739.72,0,nan,0,0,2.05055e+08,3739.72,50,54831.7,1.0000,1.0000,0.9998,0.9999,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.561443,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.0503e+08,5.79257e+06,0,1.19543e+09,9.96188e+08,7.9695e+08,1.99238e+08,3739.27,0,nan,0,0,2.0503e+08,3739.27,50,54831.7,1.0000,0.9998,0.9998,0.9998,0.9999,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.71245,0.137931,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05065e+08,5.79461e+06,0,1.19562e+09,9.96354e+08,7.97083e+08,1.99271e+08,3739.91,0,nan,0,0,2.05065e+08,3739.91,50,54831.7,1.0000,0.9994,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
