lam,mu_star,mu_star_over_lam
0.1,0.071356,0.7135628722256271
0.11444,0.070789,0.6185546190996907
0.13097,0.063782,0.4870001628381924
0.14988,0.063675,0.4248286800981259
0.17153,0.096863,0.5646973118334153
0.1963,0.13741,0.6999931911592584
0.22465,0.12296,0.5473211729248496
0.2571,0.18943,0.7368001605043201
0.29423,0.202,0.6865580028207265
0.33672,0.13023,0.38675418356242086
0.38535,0.15921,0.41316742555129765
0.441,0.16826,0.38155461469112617
0.50469,0.27312,0.5411761121244903
0.57757,0.37678,0.6523580001558565
0.66099,0.38094,0.576325514449179
0.75645,0.25854,0.34178494565129913
0.86569,0.32177,0.3716918584444461
0.99071,0.34866,0.35193146414905285
1.1338,0.49899,0.44010433512920216
1.2975,0.37748,0.2909199076821158
1.4849,0.60572,0.4079112893187741
1.6994,0.34866,0.2051726738267637
1.9448,0.44244,0.22750016515106727
2.2257,0.56144,0.2522562726971688
2.5471,0.77131,0.3028198027510463
2.9149,0.91442,0.3137019283078246
3.3359,1.1472,0.34390113729378785
3.8177,1.1472,0.3005004164069725
4.369,0.90407,0.2069268697147503
5,1.1473,0.22945366728283972
