lam,mu_star,mu_star_over_lam
0.1,0.024399,0.24399161680912623
0.11444,0.0496,0.43340755880349385
0.13097,0.047654,0.3638522374204276
0.14988,0.039496,0.2635099730826229
0.17153,0.040095,0.2337462577544144
0.1963,0.08692,0.44278513238733713
0.22465,,
0.2571,0.10587,0.41180656888012934
0.29423,0.093556,0.3179727270675109
0.33672,0.083515,0.24802520521062113
0.38535,0.13445,0.3489103697095594
0.441,0.17061,0.38687542062732244
0.50469,0.17063,0.3381003658272722
0.57757,0.10596,0.18345520261965959
0.66099,0.15761,0.2384464629693729
0.75645,0.1607,0.2124385116732014
0.86569,0.065806,0.0760153965933738
0.99071,0.12669,0.12787851962760358
1.1338,0.34867,0.30752621772327027
1.2975,0.13446,0.10362821418079482
1.4849,0.23442,0.15786745500631796
1.6994,0.39277,0.23112677054536682
1.9448,0.21653,0.11133624385630445
2.2257,0.30952,0.13906873250757748
2.5471,0.27476,0.10787338389942622
2.9149,0.479,0.16432531508958265
3.3359,0.27476,0.08236464936081135
3.8177,0.21653,0.056716405418281594
4.369,0.44244,0.10126667333097839
5,0.34866,0.06973286219948216
