mu,lam,regime,R,h_mean,s_mean,p_green,topology,k,m
0.02,0.1,green_club,0.8413,0.1235,0.9648,0.875,ring,2,
0.0253792,0.1,green_club,0.8195,0.1346,0.9541,0.875,ring,2,
0.0322052,0.1,green_club,0.7938,0.1520,0.9458,1.000,ring,2,
0.0408672,0.1,green_club,0.7612,0.1726,0.9338,0.875,ring,2,
0.0518589,0.1,green_club,0.6574,0.2326,0.8900,0.750,ring,2,
0.0658069,0.1,green_club,0.7776,0.1556,0.9332,0.875,ring,2,
0.0835064,0.1,green_club,0.5015,0.2967,0.7982,0.625,ring,2,
0.105966,0.1,green_club,0.4953,0.3116,0.8069,0.750,ring,2,
0.134467,0.1,green_club,0.5375,0.2950,0.8324,0.625,ring,2,
0.170634,0.1,transitional,0.3474,0.3839,0.7313,0.500,ring,2,
0.216527,0.1,transitional,0.2587,0.4264,0.6851,0.375,ring,2,
0.274765,0.1,transitional,0.1443,0.4845,0.6287,0.250,ring,2,
0.348666,0.1,transitional,0.1848,0.4544,0.6392,0.250,ring,2,
0.442443,0.1,transitional,0.0797,0.5039,0.5836,0.250,ring,2,
0.561443,0.1,transitional,-0.0536,0.5557,0.5021,0.250,ring,2,
0.71245,0.1,transitional,0.0304,0.5283,0.5587,0.250,ring,2,
0.904071,0.1,transitional,-0.0173,0.5544,0.5371,0.250,ring,2,
1.14723,0.1,transitional,-0.2368,0.6413,0.4045,0.125,ring,2,
1.45579,0.1,race_to_bottom,-0.0953,0.5815,0.4862,0.250,ring,2,
1.84734,0.1,transitional,-0.2707,0.6704,0.3997,0.125,ring,2,
2.3442,0.1,transitional,-0.2118,0.6419,0.4300,0.000,ring,2,
2.9747,0.1,transitional,-0.0845,0.5773,0.4927,0.000,ring,2,
3.77478,0.1,transitional,-0.2163,0.6454,0.4291,0.000,ring,2,
4.79005,0.1,transitional,-0.4324,0.7402,0.3078,0.000,ring,2,
6.07839,0.1,transitional,-0.2353,0.6348,0.3995,0.125,ring,2,
7.71324,0.1,transitional,-0.2246,0.6341,0.4095,0.000,ring,2,
9.7878,0.1,transitional,-0.1412,0.6009,0.4597,0.000,ring,2,
12.4203,0.1,transitional,0.1365,0.4368,0.5734,0.375,ring,2,
15.7609,0.1,transitional,0.2242,0.3490,0.5732,0.500,ring,2,
20,0.1,transitional,0.3676,0.2552,0.6228,0.375,ring,2,
0.02,0.114442,green_club,0.9009,0.0868,0.9877,1.000,ring,2,
0.0253792,0.114442,green_club,0.8516,0.1104,0.9620,1.000,ring,2,
