lam,mu_star,mu_star_over_lam
0.1,0.080295,0.802947367045271
0.11444,0.087675,0.7661117734597683
0.13097,0.074892,0.571826594520012
0.14988,0.097784,0.6523946864327591
0.17153,0.11575,0.6748080231381662
0.1963,0.14543,0.7408690985257084
0.22465,0.13846,0.6163149198917595
0.2571,0.17595,0.6843705354869412
0.29423,0.21632,0.7352081350250569
0.33672,0.15946,0.47355671349113126
0.38535,0.29163,0.7567859117195261
0.441,0.27474,0.6229909468505963
0.50469,0.19221,0.38085530649082944
0.57757,0.25378,0.43939598116777207
0.66099,0.25888,0.3916563491957075
0.75645,0.29747,0.3932504406837583
0.86569,0.24391,0.2817516292173484
0.99071,0.39277,0.39645103135400767
1.1338,0.44247,0.3902592321412547
1.2975,0.479,0.3691647475883392
1.4849,0.47296,0.3185074886914176
1.6994,0.56145,0.33038501263476305
1.9448,0.56144,0.2886869475305474
2.2257,0.65807,0.29567551765763156
2.5471,0.71245,0.2797126200027714
2.9149,0.80256,0.27532562242827563
3.3359,0.44244,0.13262991117903886
3.8177,0.34867,0.09132908982437787
4.369,0.80255,0.1836913285514176
5,0.56144,0.11228815779041905
