mu,lam,regime,R,h_mean,s_mean,p_green,topology,k,m
0.02,0.1,green_club,0.6488,0.2402,0.8890,0.625,ba,4,2
0.0253792,0.1,transitional,-0.1285,0.6426,0.5141,0.000,ba,4,2
0.0322052,0.1,race_to_bottom,0.1783,0.4626,0.6409,0.375,ba,4,2
0.0408672,0.1,race_to_bottom,0.1356,0.4756,0.6112,0.375,ba,4,2
0.0518589,0.1,race_to_bottom,-0.2596,0.6535,0.3939,0.375,ba,4,2
0.0658069,0.1,race_to_bottom,-0.4846,0.7740,0.2893,0.000,ba,4,2
0.0835064,0.1,race_to_bottom,-0.4650,0.7587,0.2937,0.125,ba,4,2
0.105966,0.1,race_to_bottom,-0.7863,0.9055,0.1192,0.000,ba,4,2
0.134467,0.1,race_to_bottom,-0.7381,0.8765,0.1384,0.000,ba,4,2
0.170634,0.1,race_to_bottom,-0.8620,0.9354,0.0733,0.000,ba,4,2
0.216527,0.1,race_to_bottom,-0.7453,0.8741,0.1289,0.000,ba,4,2
0.274765,0.1,race_to_bottom,-0.7989,0.9103,0.1114,0.000,ba,4,2
0.348666,0.1,race_to_bottom,-0.8073,0.8992,0.0919,0.000,ba,4,2
0.442443,0.1,race_to_bottom,-0.8658,0.9384,0.0726,0.000,ba,4,2
0.561443,0.1,race_to_bottom,-0.8489,0.9201,0.0712,0.000,ba,4,2
0.71245,0.1,race_to_bottom,-0.9137,0.9514,0.0377,0.000,ba,4,2
0.904071,0.1,race_to_bottom,-0.8935,0.9481,0.0546,0.000,ba,4,2
1.14723,0.1,race_to_bottom,-0.7684,0.8885,0.1201,0.000,ba,4,2
1.45579,0.1,race_to_bottom,-0.9277,0.9604,0.0327,0.000,ba,4,2
1.84734,0.1,race_to_bottom,-0.9094,0.9490,0.0395,0.000,ba,4,2
2.3442,0.1,race_to_bottom,-0.9213,0.9592,0.0379,0.000,ba,4,2
2.9747,0.1,race_to_bottom,-0.8390,0.9159,0.0769,0.000,ba,4,2
3.77478,0.1,race_to_bottom,-0.8368,0.9196,0.0827,0.000,ba,4,2
4.79005,0.1,race_to_bottom,-0.8235,0.9179,0.0944,0.000,ba,4,2
6.07839,0.1,race_to_bottom,-0.9047,0.9521,0.0473,0.000,ba,4,2
7.71324,0.1,race_to_bottom,-0.8606,0.9272,0.0666,0.000,ba,4,2
9.7878,0.1,race_to_bottom,-0.8249,0.9015,0.0766,0.000,ba,4,2
12.4203,0.1,race_to_bottom,-0.6432,0.7995,0.1563,0.000,ba,4,2
15.7609,0.1,transitional,0.1390,0.3321,0.4711,0.125,ba,4,2
20,0.1,transitional,0.4720,0.1508,0.6228,0.500,ba,4,2
0.02,0.114442,green_club,0.5941,0.2393,0.8334,0.750,ba,4,2
0.0253792,0.114442,green_club,0.3299,0.3639,0.6938,0.625,ba,4,2
0.0322052,0.114442,green_club,0.1016,0.4963,0.5980,0.500,ba,4,2
0.0408672,0.114442,transitional,0.1932,0.4422,0.6355,0.375,ba,4,2
0.0518589,0.114442,transitional,-0.0444,0.5618,0.5174,0.125,ba,4,2
0.0658069,0.114442,race_to_bottom,-0.2669,0.6661,0.3992,0.125,ba,4,2
0.0835064,0.114442,race_to_bottom,-0.7902,0.9011,0.1109,0.000,ba,4,2
