lam,mu_star,mu_star_over_lam
0.1,0.10091,1.0090932849993435
0.11444,0.15954,1.3940786664546307
0.13097,0.15037,1.1481403462873894
0.14988,0.22605,1.5081757675800325
0.17153,0.18783,1.0950504567810702
0.1963,0.22894,1.166253893310877
0.22465,0.31705,1.411292993107631
0.2571,0.21263,0.827030799648893
0.29423,0.25101,0.8531056415612662
0.33672,0.17031,0.5058043136159187
0.38535,0.25342,0.6576494381855226
0.441,0.40891,0.9272278217602463
0.50469,0.43797,0.867801330717411
0.57757,0.71583,1.2393780208345428
0.66099,0.44045,0.6663504596268917
0.75645,0.40769,0.538956263001161
0.86569,0.4418,0.5103471894791218
0.99071,0.70927,0.7159177700271101
1.1338,0.70343,0.6204267438178901
1.2975,1.1098,0.8552831046007207
1.4849,1.0102,0.6803286684659049
1.6994,1.0554,0.6210749819487582
1.9448,0.79152,0.4069921558082201
2.2257,0.90046,0.40458290176127065
2.5471,1.5645,0.6142302294101237
2.9149,1.1324,0.3884857947510113
3.3359,1.6207,0.4858320992974361
3.8177,2.0686,0.5418550184918063
4.369,1.8382,0.42072724528769473
5,1.4511,0.2902276326042969
