mu,tau,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.71245,0,race_to_bottom,-0.9692,0.9970,0.0277,0.000,2.06796e+08,5.741e+06,45408.5,1.18946e+09,9.88447e+08,7.90758e+08,1.97689e+08,3771.47,5.56248e+06,3624.95,1.37917,1512.44,2.01233e+08,3774.84,48.6208,53319.2,1.0000,1.0000,0.9820,0.9998,1.0000,1.0000,0.0400,0.0000,0.0453,0.0612,0.0200,0.0000
0.904071,0,race_to_bottom,-0.9844,0.9978,0.0133,0.000,2.06616e+08,5.76901e+06,20585.5,1.19262e+09,9.91793e+08,7.93435e+08,1.98359e+08,3768.18,3.33614e+06,5235.09,0.666667,731.089,2.0328e+08,3757.6,49.3333,54100.6,1.0000,0.9997,0.9875,0.9995,0.9998,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
1.14723,0,race_to_bottom,-0.9796,0.9967,0.0171,0.000,2.07202e+08,5.75886e+06,25430,1.1914e+09,9.89978e+08,7.91982e+08,1.97996e+08,3778.88,4.33275e+06,5304.04,0.858333,941.277,2.0287e+08,3764.7,49.1417,53890.4,1.0000,0.9999,0.9864,0.9998,0.9938,1.0000,0.0000,0.0223,0.0200,0.0400,0.0200,0.0000
1.45579,0,race_to_bottom,-0.9606,0.9936,0.0330,0.000,2.08503e+08,5.73352e+06,42573.3,1.18847e+09,9.85741e+08,7.88593e+08,1.97148e+08,3802.6,6.10192e+06,4743.91,1.64583,1804.88,2.02401e+08,3823.52,48.3542,53026.8,1.0000,0.9993,0.9782,0.9889,0.9952,1.0000,0.0000,0.0000,0.0459,0.1322,0.0200,0.0000
1.84734,0,race_to_bottom,-0.9790,0.9967,0.0177,0.000,2.06918e+08,5.75573e+06,26050.1,1.19106e+09,9.8992e+08,7.91936e+08,1.97984e+08,3773.7,4.03925e+06,4932.81,0.883333,968.693,2.02879e+08,3766.9,49.1167,53863,1.0000,1.0000,0.9838,1.0000,0.9961,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0261
2.3442,0,race_to_bottom,-0.9547,0.9932,0.0385,0.000,2.08935e+08,5.72066e+06,53894.2,1.18699e+09,9.83829e+08,7.87063e+08,1.96766e+08,3810.48,7.70684e+06,3199.05,1.94583,2133.87,2.01228e+08,3822.53,48.0542,52697.8,1.0000,0.9997,0.9863,0.9742,0.9996,0.9994,0.0253,0.0262,0.0424,0.1170,0.0200,0.0000
2.9747,0,race_to_bottom,-0.9786,0.9970,0.0184,0.000,2.06893e+08,5.75457e+06,26255.1,1.19091e+09,9.89798e+08,7.91839e+08,1.9796e+08,3773.25,3.92717e+06,4805.39,0.9125,1000.68,2.02966e+08,3770.83,49.0875,53831,1.0000,1.0000,0.9869,0.9994,0.9960,0.9997,0.0000,0.0000,0.0200,0.0400,0.0200,0.0304
3.77478,0,race_to_bottom,-0.9650,0.9911,0.0261,0.000,2.10232e+08,5.73291e+06,30606.4,1.18834e+09,9.83873e+08,7.87098e+08,1.96775e+08,3834.14,7.72214e+06,5713.27,1.30417,1430.19,2.0251e+08,3795,48.6958,53401.5,1.0000,0.9999,0.9804,0.9723,0.9941,1.0000,0.0000,0.0000,0.0482,0.0883,0.0200,0.0000
4.79005,0,race_to_bottom,-0.9545,0.9878,0.0333,0.000,2.11938e+08,5.70547e+06,38733.6,1.18538e+09,9.79189e+08,7.83351e+08,1.95838e+08,3865.25,1.0367e+07,4516.48,1.67083,1832.29,2.01571e+08,3807.32,48.3292,52999.4,1.0000,0.9994,0.9747,0.9530,0.9999,1.0000,0.0000,0.0239,0.0464,0.1095,0.0200,0.0000
6.07839,0,race_to_bottom,-0.9529,0.9950,0.0422,0.000,2.06411e+08,5.66405e+06,64125.5,1.18092e+09,9.8024e+08,7.84192e+08,1.96048e+08,3764.45,7.05413e+06,3459.88,2.10417,2307.5,1.99357e+08,3799.94,47.8958,52524.2,1.0000,1.0000,0.9856,0.9864,0.9999,0.9984,0.0000,0.0000,0.0512,0.1159,0.0859,0.0000
7.71324,0,race_to_bottom,-0.9742,0.9957,0.0214,0.000,2.05069e+08,5.65658e+06,32851.5,1.18006e+09,9.80678e+08,7.84543e+08,1.96136e+08,3739.98,4.52001e+06,3348.85,1.075,1178.88,2.00549e+08,3739.53,48.925,53652.8,1.0000,0.9994,0.9753,0.9999,1.0000,0.9997,0.0000,0.0000,0.0687,0.0400,0.0200,0.0000
9.7878,0,race_to_bottom,-0.9625,0.9980,0.0354,0.000,2.01399e+08,5.54109e+06,53530.4,1.16477e+09,9.68961e+08,7.75169e+08,1.93792e+08,3673.04,4.10129e+06,3355.33,1.77083,1941.95,1.97298e+08,3732.42,48.2292,52889.7,1.0000,0.9997,0.9905,0.9999,1.0000,0.9976,0.0000,0.0000,0.0200,0.0400,0.0758,0.0769
12.4203,0,race_to_bottom,-0.9101,0.9665,0.0564,0.000,2.16821e+08,5.28373e+06,49588.4,1.13094e+09,9.19455e+08,7.35564e+08,1.83891e+08,3954.31,2.07109e+07,5512.75,2.8375,3111.7,1.9611e+08,3799.14,47.1625,51720,0.9959,0.9656,1.0000,0.8872,0.9502,0.9998,0.0317,0.0494,0.0462,0.1281,0.0829,0.0000
15.7609,0,race_to_bottom,-0.8025,0.8720,0.0695,0.000,2.7234e+08,4.7839e+06,35762,1.06333e+09,7.9581e+08,6.36648e+08,1.59162e+08,4966.83,2.71992e+07,8441.07,3.5,3838.22,2.4514e+08,4859.33,46.5,50993.4,0.8696,0.9984,0.8140,0.8339,0.9591,0.7573,0.0631,0.0000,0.2254,0.0400,0.0200,0.0688
20,0,transitional,-0.2352,0.5301,0.2949,0.000,5.05925e+08,4.22728e+06,53400,1.00685e+09,5.05204e+08,4.04163e+08,1.01041e+08,9226.88,2.01709e+08,12548.2,14.7583,16184.5,3.04216e+08,8089.9,35.2417,38647.2,0.5734,0.6278,0.4440,0.4869,0.7129,0.3359,0.2257,0.1320,0.5584,0.2171,0.1006,0.5357
0.02,0.0344828,race_to_bottom,-0.9754,0.9954,0.0200,0.000,2.07684e+08,5.75038e+06,30455.5,1.19069e+09,9.88789e+08,7.91031e+08,1.97758e+08,3787.67,5.38584e+06,5974.38,1,1096.63,2.02299e+08,3764.89,49,53735,1.0000,0.9998,0.9783,0.9975,0.9965,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0253792,0.0344828,race_to_bottom,-0.3359,0.6726,0.3367,0.333,4.78997e+08,5.3051e+06,20408.1,1.14145e+09,6.67783e+08,5.34226e+08,1.33557e+08,8735.77,3.40482e+08,11248.1,16.8333,18460,1.38515e+08,5564.81,33.1667,36371.7,1.0000,1.0000,0.0213,0.0202,0.9944,0.9997,0.0400,0.0000,0.9800,0.9800,0.0200,0.0000
0.0322052,0.0344828,race_to_bottom,-0.9774,0.9974,0.0200,0.000,2.06716e+08,5.75273e+06,32719,1.19092e+09,9.89993e+08,7.91995e+08,1.97999e+08,3770.01,4.54463e+06,4970.75,1,1096.63,2.02171e+08,3762.51,49,53735,1.0000,0.9998,0.9872,1.0000,0.9976,0.9999,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0408672,0.0344828,race_to_bottom,-0.9761,0.9961,0.0200,0.000,2.07683e+08,5.75392e+06,30618.3,1.19107e+09,9.89173e+08,7.91338e+08,1.97835e+08,3787.66,5.32876e+06,6043.57,1,1096.63,2.02355e+08,3765.92,49,53735,1.0000,0.9999,0.9843,0.9998,0.9928,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0518589,0.0344828,race_to_bottom,-0.9761,0.9961,0.0200,0.000,2.07422e+08,5.75359e+06,31200.9,1.19103e+09,9.89397e+08,7.91517e+08,1.97879e+08,3782.88,5.11698e+06,5753.92,1,1096.63,2.02305e+08,3764.99,49,53735,1.0000,0.9997,0.9818,1.0000,0.9954,0.9997,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0658069,0.0344828,race_to_bottom,-0.9759,0.9959,0.0200,0.000,2.07387e+08,5.7534e+06,31199.8,1.19101e+09,9.89402e+08,7.91522e+08,1.9788e+08,3782.26,5.08732e+06,5124.02,1,1096.63,2.023e+08,3764.97,49,53735,0.9897,1.0000,0.9858,1.0000,1.0000,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.0835064,0.0344828,race_to_bottom,-0.9829,0.9962,0.0133,0.000,2.07685e+08,5.76757e+06,18186.7,1.19261e+09,9.90716e+08,7.92573e+08,1.98143e+08,3787.68,4.22737e+06,6860.58,0.666667,731.089,2.03457e+08,3760.92,49.3333,54100.6,1.0000,0.9997,0.9806,0.9999,0.9970,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.105966,0.0344828,race_to_bottom,-0.9761,0.9961,0.0200,0.000,2.07443e+08,5.75424e+06,31132.3,1.1911e+09,9.89442e+08,7.91553e+08,1.97888e+08,3783.28,5.11887e+06,5756.63,1,1096.63,2.02325e+08,3765.36,49,53735,1.0000,1.0000,0.9853,0.9998,0.9918,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.134467,0.0344828,race_to_bottom,-0.9764,0.9964,0.0200,0.000,2.07107e+08,5.75382e+06,31857.1,1.19103e+09,9.89705e+08,7.91764e+08,1.97941e+08,3777.14,4.84167e+06,5377.36,1,1096.63,2.02265e+08,3764.26,49,53735,1.0000,1.0000,0.9914,0.9999,0.9871,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
0.170634,0.0344828,race_to_bottom,-0.9782,0.9955,0.0173,0.000,2.07957e+08,5.76061e+06,24083.5,1.19182e+09,9.8965e+08,7.9172e+08,1.9793e+08,3792.65,4.9049e+06,5101.93,0.866667,950.415,2.03052e+08,3769.24,49.1333,53881.2,1.0000,0.9991,0.9806,0.9995,0.9939,1.0000,0.0000,0.0000,0.0436,0.0400,0.0200,0.0000
0.216527,0.0344828,race_to_bottom,-0.9774,0.9974,0.0200,0.000,2.06876e+08,5.75518e+06,32503.1,1.19118e+09,9.90089e+08,7.92071e+08,1.98018e+08,3772.93,4.64696e+06,5111.07,1,1096.63,2.02229e+08,3763.58,49,53735,1.0000,1.0000,0.9849,1.0000,0.9999,1.0000,0.0400,0.0000,0.0200,0.0400,0.0200,0.0000
