mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
4.79005,0.896552,green_club,0.5508,0.2438,0.7947,0.833,6.99916e+08,4.58612e+06,75808.2,9.55033e+08,2.59779e+08,2.07823e+08,5.19557e+07,12764.8,6.60783e+08,13670.5,39.7208,43559.2,3.91329e+07,8257.14,10.2792,11272.5,0.0000,0.0598,0.0731,0.1484,0.9401,0.2417,1.0000,0.9705,0.9687,0.8948,0.1164,0.8177
6.07839,0.896552,green_club,0.7765,0.1270,0.9035,1.000,7.90871e+08,4.41892e+06,75077.7,9.38564e+08,1.52187e+08,1.21749e+08,3.04374e+07,14423.6,7.55501e+08,15131,45.2292,49599.8,3.53707e+07,7681.61,4.77083,5231.85,0.0001,0.0987,0.0555,0.1548,0.1880,0.2648,1.0000,0.9426,0.9469,0.8998,0.8531,0.7784
7.71324,0.896552,green_club,0.8099,0.1128,0.9228,1.000,8.09166e+08,4.38953e+06,69794.2,9.35484e+08,1.30778e+08,1.04622e+08,2.61556e+07,14757.3,7.77234e+08,15322.5,46.1292,50586.8,3.19312e+07,8267.12,3.87083,4244.88,0.0000,0.1003,0.1291,0.1471,0.0988,0.2017,1.0000,0.9494,0.9208,0.8896,0.9264,0.8504
9.7878,0.896552,green_club,0.5181,0.2635,0.7816,0.833,6.72159e+08,4.54974e+06,88838.7,9.5111e+08,2.8359e+08,2.26872e+08,5.6718e+07,12258.6,6.20352e+08,13383.9,39.0667,42841.8,5.18072e+07,7036.26,10.9333,11989.9,0.1250,0.0888,0.1436,0.1291,0.1930,0.9015,0.9062,0.9379,0.8961,0.9008,0.8468,0.2019
12.4203,0.896552,green_club,0.8307,0.0957,0.9264,1.000,8.27644e+08,4.34463e+06,48679.2,9.30326e+08,1.07075e+08,8.56601e+07,2.1415e+07,15094.3,8.02465e+08,15629.7,46.3333,50810.7,2.51786e+07,7785.13,3.66667,4020.99,0.0752,0.0021,0.0009,0.0759,0.1048,0.3152,0.9533,1.0000,1.0000,0.9532,0.9274,0.7247
15.7609,0.896552,green_club,0.5795,0.2137,0.7932,0.833,6.87592e+08,4.35475e+06,87333.2,9.3005e+08,2.469e+08,1.9752e+08,4.93799e+07,12540.1,6.11327e+08,13895.4,39.6375,43467.8,7.62652e+07,7160.83,10.3625,11363.9,0.1490,0.1663,0.1386,0.2516,0.1763,0.4004,0.8674,0.8070,0.8594,0.7623,0.8587,0.6044
20,0.896552,green_club,0.7633,0.1081,0.8714,1.000,7.94139e+08,3.96501e+06,23218.1,8.80787e+08,9.06363e+07,7.25091e+07,1.81273e+07,14483.2,7.43462e+08,15581.9,43.5917,47804.1,5.06767e+07,8662.26,6.40833,7027.59,0.0310,0.1179,0.1409,0.0001,0.1820,0.1767,0.9923,0.8886,0.7568,0.9800,0.8625,0.7479
0.02,0.931034,green_club,0.9998,0.0002,1.0000,1.000,9.40727e+08,4.3901e+06,66.0643,9.36364e+08,27526.8,22021.4,5505.36,17156.6,9.40727e+08,17156.6,50,54831.7,0,nan,0,0,0.0000,0.0001,0.0000,0.0001,0.0008,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0253792,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.4136e+08,4.39572e+06,106.236,9.37009e+08,44265.1,35412.1,8853.03,17168.2,9.4136e+08,17168.2,50,54831.7,0,nan,0,0,0.0000,0.0003,0.0000,0.0000,0.0003,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0322052,0.931034,green_club,0.9999,0.0001,1.0000,1.000,9.41474e+08,4.39683e+06,108.521,9.37122e+08,45217.1,36173.7,9043.42,17170.3,9.41474e+08,17170.3,50,54831.7,0,nan,0,0,0.0002,0.0001,0.0000,0.0000,0.0003,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
