s0,lam,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,h_seed6,h_seed7,h_seed8,h_seed9,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5,s_seed6,s_seed7,s_seed8,s_seed9
0,1,race_to_bottom,-0.9999,0.9999,0.0000,0.000,8.5505e+07,5.79433e+06,0,1.07609e+09,9.96384e+08,7.97107e+08,1.99277e+08,1559.41,0,nan,0,0,8.5505e+07,1559.41,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9997,1.0000,1.0000,0.9996,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0416667,1,race_to_bottom,-0.9999,0.9999,0.0000,0.000,8.5506e+07,5.795e+06,0,1.0761e+09,9.96387e+08,7.9711e+08,1.99277e+08,1559.43,0,nan,0,0,8.5506e+07,1559.43,50,54831.7,1.0000,0.9994,0.9999,1.0000,1.0000,1.0000,1.0000,0.9998,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0833333,1,race_to_bottom,-0.9925,0.9994,0.0069,0.000,8.57496e+07,5.78223e+06,11516.3,1.07478e+09,9.94821e+08,7.95857e+08,1.98964e+08,1563.87,327649,1031.52,0.3425,375.597,8.54219e+07,1568.88,49.6575,54456.1,1.0000,0.9994,0.9999,0.9999,1.0000,0.9954,0.9999,1.0000,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0291,0.0000,0.0000,0.0200,0.0200
0.125,1,race_to_bottom,-0.9933,0.9999,0.0065,0.000,8.54145e+07,5.78367e+06,11900.4,1.07486e+09,9.95236e+08,7.96189e+08,1.99047e+08,1557.76,95333.1,412.527,0.325,356.406,8.53191e+07,1566.35,49.675,54475.3,1.0000,0.9999,0.9999,0.9997,0.9998,1.0000,1.0000,0.9996,0.9998,1.0000,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0200
0.166667,1,race_to_bottom,-0.9885,0.9999,0.0114,0.000,8.53445e+07,5.7752e+06,20023.8,1.07392e+09,9.94366e+08,7.95493e+08,1.98873e+08,1556.48,28981.1,184.618,0.57,625.081,8.53155e+07,1574.26,49.43,54206.6,1.0000,0.9999,0.9999,0.9999,1.0000,0.9999,1.0000,0.9996,0.9999,0.9997,0.0239,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.208333,1,race_to_bottom,-0.9896,0.9998,0.0102,0.000,8.53475e+07,5.77563e+06,19199.3,1.07396e+09,9.94408e+08,7.95526e+08,1.98882e+08,1556.54,245195,465.569,0.5125,562.024,8.51023e+07,1568.32,49.4875,54269.6,1.0000,0.9998,0.9999,0.9996,0.9997,0.9999,0.9991,0.9998,1.0000,0.9998,0.0221,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.25,1,race_to_bottom,-0.9939,0.9999,0.0060,0.000,8.54109e+07,5.78419e+06,11379.5,1.07481e+09,9.95192e+08,7.96154e+08,1.99038e+08,1557.69,173121,509.252,0.3,328.99,8.52378e+07,1564.04,49.7,54502.7,1.0000,1.0000,1.0000,0.9999,0.9997,0.9999,1.0000,0.9998,1.0000,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0200
0.291667,1,race_to_bottom,-0.9815,0.9999,0.0184,0.000,8.5231e+07,5.76196e+06,31820.5,1.0724e+09,9.92965e+08,7.94372e+08,1.98593e+08,1554.41,-40780.1,211.573,0.925,1014.39,8.52718e+07,1585.36,49.075,53817.3,1.0000,0.9996,1.0000,0.9999,1.0000,0.9999,0.9999,0.9998,1.0000,0.9998,0.0220,0.0000,0.0200,0.0000,0.0200,0.0000,0.0000,0.0618,0.0400,0.0200
0.333333,1,race_to_bottom,-0.9769,0.9999,0.0230,0.000,8.51571e+07,5.75239e+06,40139,1.07142e+09,9.92057e+08,7.93645e+08,1.98411e+08,1553.06,29235,262.855,1.15,1261.13,8.51278e+07,1590.1,48.85,53570.5,1.0000,0.9993,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0200,0.0000,0.0200,0.0450,0.0200,0.0000,0.0000,0.0654,0.0400,0.0200
0.375,1,race_to_bottom,-0.9764,0.9999,0.0235,0.000,8.51689e+07,5.75056e+06,40497.5,1.07123e+09,9.91853e+08,7.93483e+08,1.98371e+08,1553.28,-48052.9,178.82,1.1775,1291.29,8.5217e+07,1592.65,48.8225,53540.4,1.0000,1.0000,1.0000,0.9998,1.0000,1.0000,0.9993,1.0000,1.0000,1.0000,0.0294,0.0000,0.0200,0.0404,0.0200,0.0000,0.0000,0.0654,0.0400,0.0200
