s0,lam,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,h_seed6,h_seed7,h_seed8,h_seed9,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5,s_seed6,s_seed7,s_seed8,s_seed9
0.416667,1,race_to_bottom,-0.9665,0.9975,0.0310,0.000,8.66849e+07,5.73638e+06,49457.6,1.0697e+09,9.88801e+08,7.9104e+08,1.9776e+08,1580.93,1.23211e+06,877.87,1.555,1705.26,8.54528e+07,1610.47,48.445,53126.4,1.0000,1.0000,0.9999,0.9937,1.0000,0.9998,0.9999,1.0000,0.9817,0.9999,0.0243,0.0000,0.0440,0.0963,0.0200,0.0000,0.0000,0.0654,0.0400,0.0200
0.458333,1,race_to_bottom,-0.9659,0.9979,0.0321,0.000,8.63776e+07,5.73271e+06,53130.5,1.06939e+09,9.88794e+08,7.91035e+08,1.97759e+08,1575.32,1.26412e+06,802.05,1.6,1754.61,8.51134e+07,1605.37,48.4,53077,1.0000,0.9998,1.0000,0.9999,0.9977,0.9998,1.0000,0.9821,1.0000,0.9999,0.0000,0.0561,0.0200,0.0914,0.0200,0.0000,0.0000,0.0731,0.0400,0.0200
0.5,1,race_to_bottom,-0.9757,0.9974,0.0216,0.000,8.67683e+07,5.75098e+06,35339.6,1.07124e+09,9.90259e+08,7.92207e+08,1.98052e+08,1582.45,1.59977e+06,1279.54,1.085,1189.85,8.51685e+07,1588.69,48.915,53641.8,1.0000,0.9997,0.9995,0.9854,1.0000,1.0000,0.9994,0.9940,1.0000,0.9956,0.0000,0.0000,0.0200,0.0711,0.0200,0.0000,0.0000,0.0453,0.0400,0.0200
0.541667,1,race_to_bottom,-0.9636,0.9946,0.0310,0.000,8.86076e+07,5.73316e+06,49737.1,1.06945e+09,9.86622e+08,7.89297e+08,1.97324e+08,1615.99,3.78013e+06,1682.95,1.5425,1691.56,8.48275e+07,1597.79,48.4575,53140.1,1.0000,0.9999,0.9995,0.9733,0.9888,0.9993,1.0000,0.9999,0.9867,0.9982,0.0000,0.0200,0.0200,0.1062,0.0600,0.0000,0.0000,0.0200,0.0400,0.0436
0.583333,1,race_to_bottom,-0.9510,0.9938,0.0428,0.000,8.91606e+07,5.71554e+06,66303.9,1.0676e+09,9.84222e+08,7.87378e+08,1.96844e+08,1626.08,3.90027e+06,1421.01,2.135,2341.31,8.52603e+07,1626.37,47.865,52490.3,1.0000,1.0000,0.9995,0.9733,0.9860,1.0000,0.9911,0.9999,1.0000,0.9879,0.0000,0.0200,0.0744,0.1062,0.0600,0.0000,0.0405,0.0200,0.0400,0.0667
0.625,1,race_to_bottom,-0.9286,0.9852,0.0567,0.000,9.41512e+07,5.68552e+06,78774.4,1.06454e+09,9.76154e+08,7.80923e+08,1.95231e+08,1717.1,8.26931e+06,2463.32,2.8425,3117.18,8.58819e+07,1664.62,47.1575,51714.5,1.0000,0.9656,0.9892,1.0000,0.9669,0.9998,1.0000,0.9912,0.9410,0.9984,0.0000,0.1103,0.0710,0.0690,0.0600,0.0000,0.0635,0.0400,0.1108,0.0421
0.666667,1,race_to_bottom,-0.9262,0.9873,0.0611,0.000,9.30012e+07,5.68115e+06,92447.5,1.06421e+09,9.76977e+08,7.81582e+08,1.95395e+08,1696.12,7.9105e+06,1884.05,3.0575,3352.96,8.50907e+07,1655.13,46.9425,51478.7,0.9669,0.9994,0.9999,1.0000,0.9669,0.9993,0.9999,0.9999,0.9404,1.0000,0.0862,0.0710,0.0452,0.0865,0.0600,0.0203,0.0459,0.0200,0.1096,0.0663
0.708333,1,race_to_bottom,-0.7557,0.9003,0.1445,0.100,1.69206e+08,5.56132e+06,79599.1,1.0522e+09,8.88631e+08,7.10905e+08,1.77726e+08,3085.92,9.10806e+07,2965.44,7.235,7934.14,7.81258e+07,2143.33,42.765,46897.5,1.0000,1.0000,0.9988,0.9998,0.0480,0.9997,1.0000,0.9732,0.9832,1.0000,0.0600,0.0200,0.0653,0.0735,0.9600,0.0000,0.0737,0.0866,0.0400,0.0663
0.75,1,race_to_bottom,-0.5595,0.7973,0.2379,0.200,2.55991e+08,5.42803e+06,63517.8,1.03891e+09,7.8841e+08,6.30728e+08,1.57682e+08,4668.68,1.86055e+08,5468.56,11.89,13039,6.99369e+07,2169.27,38.11,41792.7,0.0000,0.9838,0.9870,0.9998,0.0522,1.0000,0.9849,1.0000,0.9832,0.9821,1.0000,0.0754,0.0980,0.0735,0.9600,0.0000,0.0703,0.0200,0.0400,0.0413
0.791667,1,race_to_bottom,-0.2055,0.6134,0.4079,0.400,4.13433e+08,5.17488e+06,39205.5,1.01381e+09,6.05587e+08,4.8447e+08,1.21117e+08,7540.04,3.57949e+08,8444.81,20.405,22376.8,5.54836e+07,3237.13,29.595,32454.9,0.0765,0.9999,0.0000,0.0577,0.0468,1.0000,0.9961,0.9999,0.9572,0.9999,0.9545,0.0200,1.0000,0.9568,0.9600,0.0000,0.0200,0.0200,0.1067,0.0413
0.833333,1,race_to_bottom,-0.0058,0.5161,0.5103,0.500,4.94335e+08,5.03323e+06,48099.6,9.99809e+08,5.10555e+08,4.08444e+08,1.02111e+08,9015.5,4.46189e+08,9476.44,25.51,27975.1,4.81455e+07,3174.86,24.49,26856.5,0.0412,0.9997,0.9842,0.0256,0.1578,0.9939,1.0000,0.0000,0.9571,0.0018,0.9641,0.0484,0.0400,0.9800,0.8896,0.0452,0.0200,1.0000,0.1163,1.0000
0.875,1,green_club,0.5684,0.2207,0.7890,0.800,7.46153e+08,4.63295e+06,19096.7,9.59795e+08,2.18294e+08,1.74635e+08,4.36589e+07,13608.1,7.2365e+08,13766.2,39.445,43256.7,2.25035e+07,5221.94,10.555,11575,0.0001,0.0000,0.0154,0.0190,0.1578,0.9961,1.0000,0.0000,0.0167,0.0015,1.0000,1.0000,1.0000,0.9800,0.8896,0.0209,0.0200,1.0000,0.9800,1.0000
0.916667,1,green_club,0.7500,0.1331,0.8831,0.900,8.18893e+08,4.52317e+06,27557.8,9.49308e+08,1.34966e+08,1.07973e+08,2.69931e+07,14934.7,7.99914e+08,15333,44.1575,48424.6,1.89786e+07,7015.06,5.8425,6407.08,0.0601,0.0001,0.0023,0.0235,0.0588,0.0000,0.9772,0.1369,0.0579,0.0143,0.9604,1.0000,1.0000,0.9800,0.9600,1.0000,0.0532,0.9239,0.9539,0.9993
0.958333,1,green_club,0.9805,0.0124,0.9929,1.000,9.26845e+08,4.3943e+06,9586.92,9.36718e+08,1.42764e+07,1.14211e+07,2.85528e+06,16903.5,9.23297e+08,16952.9,49.65,54447.8,3.54832e+06,8919.83,0.35,383.822,0.0601,0.0003,0.0023,0.0008,0.0003,0.0449,0.0000,0.0005,0.0001,0.0143,0.9604,1.0000,1.0000,1.0000,1.0000,0.9694,1.0000,1.0000,1.0000,0.9993
1,1,green_club,0.9998,0.0002,1.0000,1.000,9.45e+08,4.42764e+06,98.8172,9.40613e+08,41173.8,32939.1,8234.76,17234.6,9.45e+08,17234.6,50,54831.7,0,nan,0,0,0.0000,0.0004,0.0001,0.0008,0.0003,0.0000,0.0000,0.0004,0.0000,0.0001,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
