delta_c,t_ratio,g,leakage_mean,leakage_std,import_pen_mean,import_pen_std,price_cv_mean,price_cv_std,price_iqr_mean,price_iqr_std,n_active_mean,n_valid,leakage_ok,import_ok,price_cv_ok,all_pass
1.0,1.5,0.3,28.650812423392278,11.200115438543287,60.44124687218304,3.1981956543391523,9.727734030095565,0.8042395886632328,10.418971736521224,1.1688551032606598,7.651999999999999,5,0,0,0,0
1.0,1.5,0.5,26.27754786715685,9.164297385482401,54.23883103381,3.1259305090748297,9.221464621532084,0.7367767674121349,10.915275845915037,1.3879018533868641,7.651999999999999,5,0,0,0,0
1.0,1.5,0.7,24.264501923601195,8.063880995947958,47.43003218338678,3.143298773319078,8.842006968944098,0.6670223406892026,11.258119789307647,1.281653671622349,7.651999999999999,5,0,0,0,0
1.0,1.5,1.0,22.115700667480866,8.66893020141585,36.466998149819275,3.3933587014117843,8.465927032348219,0.554377344611245,11.690976569400636,1.005826795634179,7.651999999999999,5,0,0,0,0
1.0,1.5,1.3,20.252193584307854,9.083870464039078,25.533746452993036,3.7906701011939083,8.247141208471293,0.4499439032971888,12.154104265467545,1.3425326828538642,7.651999999999999,5,0,0,0,0
1.0,1.5,1.5,18.695314936164316,8.74722891687383,19.14685050969073,3.5063902861970386,8.18674248666954,0.4280074023457267,12.507399697219556,0.9906483339304446,7.651999999999999,5,1,0,0,0
1.0,1.5,2.0,11.723105294742592,6.846244526261192,7.154431095964587,2.6187139176628587,8.397357075485932,0.49426564178347104,10.624034236530752,1.8307393882406249,7.651999999999999,5,1,0,0,0
1.0,1.5,2.2,8.330161665243002,5.544431157210969,4.729698881396905,2.111993213563695,8.614837419300155,0.5554609173066406,10.528475313451194,2.0576632580009813,7.651999999999999,5,1,0,0,0
1.0,1.5,2.3,6.867641996303507,4.6129476026740965,3.887225677319711,1.8252408950223022,8.744652507507356,0.6028293763384946,10.578033051124425,2.0535286965945994,7.651999999999999,5,1,0,0,0
1.0,1.5,2.4,5.362347757995362,3.6324010275452214,3.135939122245636,1.5715842833699591,8.867855707782512,0.6496097524484485,10.823668486642212,2.0773593509105104,7.651999999999999,5,1,0,0,0
1.0,1.5,2.5,3.740674437248688,2.4878863454324063,2.4952445052345182,1.3462959152338272,8.979838377378563,0.690241745609661,10.993858946015397,1.9642206528397386,7.651999999999999,5,0,0,0,0
1.0,2.0,0.3,24.35238818474345,9.871563185727355,60.44124687218304,3.1981956543391523,10.994398819671238,0.9904157210388157,13.7670329082519,1.613114279419164,7.651999999999999,5,0,0,1,0
1.0,2.0,0.5,22.467969018434975,8.28702090184471,54.23883103381,3.1259305090748297,10.442659323332368,0.9114042643084731,13.610537145203898,1.8034192538141989,7.651999999999999,5,0,0,1,0
1.0,2.0,0.7,20.81624555070983,7.463235928357679,47.43003218338678,3.143298773319078,10.003115168326806,0.8318238875908368,13.618092781367006,1.7243973204277312,7.651999999999999,5,0,0,1,0
1.0,2.0,1.0,18.74081383106901,7.8343121799656394,36.466998149819275,3.3933587014117843,9.541065041555399,0.7146950581376313,13.723771047753697,1.195194267544841,7.651999999999999,5,1,0,0,0
1.0,2.0,1.3,16.732366584897324,7.918174182536422,25.533746452993036,3.7906701011939083,9.240334180435392,0.6112154613922941,13.98616376823524,0.9679198350484717,7.651999999999999,5,1,0,0,0
1.0,2.0,1.5,15.231798267681707,7.410457399157098,19.14685050969073,3.5063902861970386,9.146387760046878,0.5768835385723274,13.812448311477008,0.8281480031059771,7.651999999999999,5,1,0,0,0
