tau_BA,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.137931,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05051e+08,5.79345e+06,0,1.19554e+09,9.96287e+08,7.97029e+08,1.99257e+08,3739.64,0,nan,0,0,2.05051e+08,3739.64,50,54831.7,1.0000,1.0000,0.9999,0.9999,0.9999,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.172414,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0505e+08,5.79354e+06,0,1.19554e+09,9.96281e+08,7.97025e+08,1.99256e+08,3739.62,0,nan,0,0,2.0505e+08,3739.62,50,54831.7,1.0000,1.0000,0.9999,0.9999,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.206897,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05049e+08,5.79364e+06,0,1.19553e+09,9.96276e+08,7.97021e+08,1.99255e+08,3739.61,0,nan,0,0,2.05049e+08,3739.61,50,54831.7,1.0000,1.0000,0.9999,0.9999,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.241379,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05048e+08,5.79362e+06,0,1.19553e+09,9.96274e+08,7.97019e+08,1.99255e+08,3739.6,0,nan,0,0,2.05048e+08,3739.6,50,54831.7,1.0000,1.0000,0.9999,0.9999,1.0000,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.275862,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05039e+08,5.79315e+06,0,1.19548e+09,9.9623e+08,7.96984e+08,1.99246e+08,3739.43,0,nan,0,0,2.05039e+08,3739.43,50,54831.7,1.0000,1.0000,0.9999,0.9996,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.310345,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0504e+08,5.79317e+06,0,1.19548e+09,9.96232e+08,7.96985e+08,1.99246e+08,3739.44,0,nan,0,0,2.0504e+08,3739.44,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.344828,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0504e+08,5.79317e+06,0,1.19548e+09,9.96232e+08,7.96985e+08,1.99246e+08,3739.44,0,nan,0,0,2.0504e+08,3739.44,50,54831.7,1.0000,0.9999,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.37931,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05038e+08,5.79308e+06,0,1.19547e+09,9.96223e+08,7.96979e+08,1.99245e+08,3739.4,0,nan,0,0,2.05038e+08,3739.4,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.413793,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05044e+08,5.79294e+06,0,1.1955e+09,9.96253e+08,7.97003e+08,1.99251e+08,3739.51,0,nan,0,0,2.05044e+08,3739.51,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.448276,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05048e+08,5.79334e+06,0,1.19553e+09,9.96276e+08,7.97021e+08,1.99255e+08,3739.6,0,nan,0,0,2.05048e+08,3739.6,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.482759,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05047e+08,5.79327e+06,0,1.19552e+09,9.9627e+08,7.97016e+08,1.99254e+08,3739.58,0,nan,0,0,2.05047e+08,3739.58,50,54831.7,1.0000,0.9994,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.517241,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05048e+08,5.7933e+06,0,1.19553e+09,9.96272e+08,7.97018e+08,1.99254e+08,3739.59,0,nan,0,0,2.05048e+08,3739.59,50,54831.7,1.0000,0.9994,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.551724,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05045e+08,5.79302e+06,0,1.19551e+09,9.9626e+08,7.97008e+08,1.99252e+08,3739.54,0,nan,0,0,2.05045e+08,3739.54,50,54831.7,1.0000,0.9999,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.586207,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.05045e+08,5.79301e+06,0,1.19551e+09,9.9626e+08,7.97008e+08,1.99252e+08,3739.54,0,nan,0,0,2.05045e+08,3739.54,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.62069,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0505e+08,5.7934e+06,0,1.19554e+09,9.96282e+08,7.97025e+08,1.99256e+08,3739.62,0,nan,0,0,2.0505e+08,3739.62,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.655172,0.0344828,race_to_bottom,-1.0000,1.0000,0.0000,0.000,2.0505e+08,5.79341e+06,0,1.19554e+09,9.96283e+08,7.97026e+08,1.99257e+08,3739.63,0,nan,0,0,2.0505e+08,3739.63,50,54831.7,1.0000,1.0000,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.689655,0.0344828,race_to_bottom,-0.9999,0.9999,0.0000,0.000,2.05043e+08,5.79292e+06,0,1.1955e+09,9.96252e+08,7.97002e+08,1.9925e+08,3739.51,0,nan,0,0,2.05043e+08,3739.51,50,54831.7,1.0000,0.9995,0.9999,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
