period,jurisdiction,policy,population,f_H,f_L,f_total,f_imported,price,pi_H,pi_L,tariff_total,wage_pc,cs_pc,tax_pc,tariff_pc,damage_pc,welfare_pc
8,J37,S,924.34,0,0,0,3.5,19.9359,309351.8325,469475.4999,1.0,0.0,0.004112,0.0,0.001082,-0.0,0.005194
8,J38,L,310.99,8,0,8,2.75,19.4071,188465.9336,147646.1155,-1.5,0.025724,0.351492,0.0,-0.004823,-0.007717,0.364675
8,J39,S,318.39,0,0,0,4.75,19.7501,103518.429,157963.5954,1.0,0.0,0.062446,0.0,0.003141,-0.0,0.065587
8,J40,L,2909.94,11,0,11,2.0,19.9206,1869050.793,1475146.1283,-1.5,0.00378,0.0063,0.0,-0.000515,-0.001134,0.008431
8,J41,S,3343.86,0,0,0,2.75,19.986,1127797.1517,1709068.3396,0.5,0.0,0.000195,0.0,0.00015,-0.0,0.000345
8,J42,S,2476.82,0,0,0,4.25,19.9709,833419.3356,1263520.7784,1.0,0.0,0.000848,0.0,0.000404,-0.0,0.001252
8,J43,S,404.13,0,0,0,1.5,19.9371,135277.878,205291.5474,0.5,0.0,0.003952,0.0,0.001237,-0.0,0.005189
8,J44,L,1553.46,6,0,6,0.0,19.9307,998912.9172,788502.6095,-2.0,0.003862,0.004796,0.0,-0.001287,-0.001159,0.006212
8,J45,S,1306.4,0,0,0,1.5,19.9805,440238.9068,667246.4422,0.5,0.0,0.00038,0.0,0.000383,-0.0,0.000763
8,J46,S,1522.38,0,0,0,4.5,19.9499,510607.2046,774586.7497,1.0,0.0,0.00251,0.0,0.000657,-0.0,0.003167
8,J47,S,4052.72,0,0,0,6.25,19.9738,1364307.9108,2068207.8913,1.0,0.0,0.000685,0.0,0.000247,-0.0,0.000932
8,J48,L,1533.63,12,0,12,5.0,19.8059,972473.9783,766281.7799,-1.0,0.007825,0.03768,0.0,-0.000652,-0.002347,0.042506
8,J49,L,3036.23,13,0,13,6.75,19.8859,1942605.3575,1532450.6859,-0.5,0.004282,0.013024,0.0,-0.000165,-0.001284,0.015856
8,J50,L,1213.63,7,0,7,10.5,19.7527,764966.3667,602314.4797,-0.0,0.005768,0.061174,0.0,-0.0,-0.00173,0.065212
9,J1,L,1732.08,8,0,8,7.25,19.8471,1103391.8311,869948.9175,-0.5,0.004619,0.023393,0.0,-0.000289,-0.001386,0.026338
9,J2,L,230.45,9,0,9,5.25,18.9732,132779.4772,103331.5405,-0.5,0.039054,1.054271,0.0,-0.00217,-0.011716,1.07944
9,J3,S,3380.15,0,0,0,5.75,19.9711,1137423.5974,1724399.529,1.5,0.0,0.000833,0.0,0.000444,-0.0,0.001277
9,J4,L,4495.57,6,0,6,5.5,19.9553,2898674.3919,2288885.1695,-1.0,0.001335,0.001999,0.0,-0.000222,-0.0004,0.002711
9,J5,S,58.76,0,0,0,4.75,18.7285,16165.6367,25493.206,1.0,0.0,1.616636,0.0,0.017019,-0.0,1.633654
9,J6,L,155.51,13,0,13,1.5,18.4736,84406.6914,65155.8367,-1.5,0.083594,2.32975,0.0,-0.009645,-0.025078,2.378621
9,J7,S,1328.44,0,0,0,7.25,19.9077,442661.1316,672338.7204,1.0,0.0,0.008515,0.0,0.000753,-0.0,0.009267
9,J8,S,682.41,0,0,0,7.25,19.8213,224357.8024,341634.3387,1.0,0.0,0.031937,0.0,0.001465,-0.0,0.033403
9,J9,L,1069.34,16,0,16,0.0,19.7346,672653.5338,529493.1322,-2.0,0.014962,0.070413,0.0,-0.00187,-0.004489,0.079016
9,J10,S,305.04,0,0,0,6.75,19.632,97347.4302,149076.734,1.0,0.0,0.135453,0.0,0.003278,-0.0,0.138731
9,J11,S,4101.45,0,0,0,8.75,19.9638,1378583.8541,2090455.7488,1.5,0.0,0.00131,0.0,0.000366,-0.0,0.001675
9,J12,L,3521.66,11,0,11,4.75,19.9212,2262099.1289,1785373.3658,-1.0,0.003124,0.00621,0.0,-0.000284,-0.000937,0.008112
9,J13,L,1210.81,8,0,8,9.25,19.7547,763366.2192,601072.0077,-0.5,0.006607,0.060175,0.0,-0.000413,-0.001982,0.064387
9,J14,L,5948.31,11,0,11,8.5,19.9426,3829962.2747,3023723.6585,-0.5,0.001849,0.003294,0.0,-8.4e-05,-0.000555,0.004504
