mu,tau_BA,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
0.348666,0.0689655,race_to_bottom,-0.9831,0.9965,0.0133,0.000,2.07224e+08,5.76734e+06,19173.6,1.19256e+09,9.91126e+08,7.92901e+08,1.98225e+08,3779.27,3.84519e+06,6127.64,0.666667,731.089,2.03378e+08,3759.45,49.3333,54100.6,1.0000,0.9993,0.9853,0.9994,0.9948,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.442443,0.0689655,race_to_bottom,-0.9842,0.9975,0.0133,0.000,2.06626e+08,5.76857e+06,20585.5,1.19269e+09,9.9185e+08,7.9348e+08,1.9837e+08,3768.38,3.33572e+06,5234.72,0.666667,731.089,2.03291e+08,3757.82,49.3333,54100.6,1.0000,0.9998,0.9855,1.0000,1.0000,0.9999,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.561443,0.0689655,race_to_bottom,-0.9845,0.9978,0.0133,0.000,2.06621e+08,5.76844e+06,20585.5,1.19265e+09,9.91822e+08,7.93458e+08,1.98364e+08,3768.28,3.33599e+06,5234.89,0.666667,731.089,2.03285e+08,3757.7,49.3333,54100.6,1.0000,0.9996,0.9872,1.0000,1.0000,1.0000,0.0000,0.0000,0.0200,0.0400,0.0200,0.0000
0.71245,0.0689655,race_to_bottom,-0.9668,0.9955,0.0287,0.000,2.07764e+08,5.73969e+06,43763.5,1.18939e+09,9.87414e+08,7.89931e+08,1.97483e+08,3789.12,6.20395e+06,3825.35,1.43333,1571.84,2.0156e+08,3786.16,48.5667,53259.8,1.0000,0.9998,0.9779,0.9998,0.9953,1.0000,0.0400,0.0000,0.0720,0.0400,0.0200,0.0000
0.904071,0.0689655,race_to_bottom,-0.9718,0.9958,0.0240,0.000,2.07084e+08,5.74536e+06,38390.1,1.19004e+09,9.88737e+08,7.9099e+08,1.97747e+08,3776.73,5.33879e+06,3829.82,1.19583,1311.39,2.01745e+08,3770.08,48.8042,53520.3,1.0000,0.9999,0.9752,0.9998,0.9999,1.0000,0.0400,0.0000,0.0439,0.0400,0.0200,0.0000
1.14723,0.0689655,race_to_bottom,-0.9706,0.9921,0.0215,0.000,2.10406e+08,5.75254e+06,24280.5,1.19073e+09,9.86098e+08,7.88878e+08,1.9722e+08,3837.31,7.28314e+06,5035.84,1.07917,1183.45,2.03123e+08,3788.49,48.9208,53648.2,1.0000,0.9996,0.9558,0.9999,0.9974,1.0000,0.0000,0.0000,0.0691,0.0400,0.0200,0.0000
1.45579,0.0689655,race_to_bottom,-0.9728,0.9951,0.0223,0.000,2.07973e+08,5.74922e+06,30812.3,1.19039e+09,9.88198e+08,7.90559e+08,1.9764e+08,3792.94,5.29059e+06,4287.29,1.1125,1220,2.02683e+08,3781.28,48.8875,53611.7,1.0000,0.9998,0.9744,0.9997,0.9968,0.9998,0.0319,0.0000,0.0420,0.0400,0.0200,0.0000
1.84734,0.0689655,race_to_bottom,-0.9738,0.9953,0.0215,0.000,2.07888e+08,5.75299e+06,30398.3,1.19076e+09,9.88657e+08,7.90925e+08,1.97731e+08,3791.38,5.2397e+06,6018.51,1.07083,1174.31,2.02648e+08,3777.23,48.9292,53657.3,1.0000,0.9997,0.9815,0.9998,0.9912,0.9998,0.0000,0.0259,0.0200,0.0633,0.0200,0.0000
2.3442,0.0689655,race_to_bottom,-0.9499,0.9873,0.0373,0.000,2.1287e+08,5.71955e+06,44442.6,1.187e+09,9.79897e+08,7.83918e+08,1.95979e+08,3882.24,1.12527e+07,5548.46,1.87083,2051.62,2.01617e+08,3824.4,48.1292,52780,1.0000,0.9998,0.9653,0.9999,0.9587,0.9999,0.0000,0.0000,0.0627,0.0649,0.0965,0.0000
2.9747,0.0689655,race_to_bottom,-0.9575,0.9953,0.0377,0.000,2.07164e+08,5.71949e+06,52909,1.18692e+09,9.85528e+08,7.88422e+08,1.97106e+08,3778.18,5.42716e+06,2939.14,1.88333,2065.33,2.01737e+08,3825.31,48.1167,52766.3,1.0000,1.0000,0.9771,1.0000,0.9946,0.9999,0.0000,0.0435,0.0459,0.0667,0.0704,0.0000
