phi,delta_loc,regime,p_rtb,h_ss,s_ss
431.03,1275.9,green_club,0.000,0.018,0.980
517.24,1275.9,green_club,0.000,0.018,0.980
603.45,1275.9,green_club,0.000,0.018,0.980
689.66,1275.9,green_club,0.000,0.018,0.980
775.86,1275.9,green_club,0.000,0.018,0.980
862.07,1275.9,green_club,0.000,0.018,0.980
948.28,1275.9,green_club,0.000,0.018,0.980
1034.5,1275.9,green_club,0.000,0.018,0.980
1120.7,1275.9,green_club,0.000,0.018,0.980
1206.9,1275.9,green_club,0.000,0.018,0.980
1293.1,1275.9,green_club,0.000,0.017,0.980
1379.3,1275.9,green_club,0.000,0.017,0.980
1465.5,1275.9,green_club,0.000,0.019,0.980
1551.7,1275.9,green_club,0.000,0.019,0.980
1637.9,1275.9,green_club,0.000,0.016,0.980
1724.1,1275.9,green_club,0.000,0.028,0.974
1810.3,1275.9,green_club,0.000,0.021,0.980
1896.6,1275.9,race_to_bottom,0.500,0.509,0.511
1982.8,1275.9,race_to_bottom,0.750,0.752,0.272
2069,1275.9,race_to_bottom,1.000,0.998,0.022
2155.2,1275.9,race_to_bottom,1.000,0.990,0.035
2241.4,1275.9,race_to_bottom,1.000,0.993,0.031
2327.6,1275.9,race_to_bottom,1.000,0.997,0.015
2413.8,1275.9,race_to_bottom,1.000,0.997,0.015
2500,1275.9,race_to_bottom,1.000,0.997,0.015
0,1320.7,green_club,0.000,0.020,0.980
86.207,1320.7,green_club,0.000,0.017,0.980
172.41,1320.7,green_club,0.000,0.016,0.980
258.62,1320.7,green_club,0.000,0.018,0.980
344.83,1320.7,green_club,0.000,0.018,0.980
431.03,1320.7,green_club,0.000,0.018,0.980
517.24,1320.7,green_club,0.000,0.018,0.980
603.45,1320.7,green_club,0.000,0.018,0.980
689.66,1320.7,green_club,0.000,0.018,0.980
775.86,1320.7,green_club,0.000,0.018,0.980
862.07,1320.7,green_club,0.000,0.018,0.980
948.28,1320.7,green_club,0.000,0.018,0.980
1034.5,1320.7,green_club,0.000,0.018,0.980
1120.7,1320.7,green_club,0.000,0.018,0.980
1206.9,1320.7,green_club,0.000,0.018,0.980
1293.1,1320.7,green_club,0.000,0.018,0.980
1379.3,1320.7,green_club,0.000,0.017,0.980
1465.5,1320.7,green_club,0.000,0.018,0.980
1551.7,1320.7,green_club,0.000,0.021,0.980
1637.9,1320.7,green_club,0.000,0.016,0.980
1724.1,1320.7,green_club,0.000,0.020,0.980
1810.3,1320.7,green_club,0.000,0.032,0.975
1896.6,1320.7,green_club,0.000,0.022,0.980
1982.8,1320.7,green_club,0.250,0.266,0.741
2069,1320.7,race_to_bottom,1.000,0.995,0.032
2155.2,1320.7,race_to_bottom,1.000,0.996,0.032
2241.4,1320.7,race_to_bottom,1.000,0.991,0.035
2327.6,1320.7,race_to_bottom,1.000,0.995,0.038
2413.8,1320.7,race_to_bottom,1.000,0.997,0.015
2500,1320.7,race_to_bottom,1.000,0.997,0.015
0,1365.5,green_club,0.000,0.020,0.980
86.207,1365.5,green_club,0.000,0.017,0.980
172.41,1365.5,green_club,0.000,0.016,0.980
258.62,1365.5,green_club,0.000,0.018,0.980
344.83,1365.5,green_club,0.000,0.018,0.980
431.03,1365.5,green_club,0.000,0.018,0.980
517.24,1365.5,green_club,0.000,0.018,0.980
603.45,1365.5,green_club,0.000,0.018,0.980
689.66,1365.5,green_club,0.000,0.018,0.980
775.86,1365.5,green_club,0.000,0.018,0.980
862.07,1365.5,green_club,0.000,0.018,0.980
948.28,1365.5,green_club,0.000,0.018,0.980
1034.5,1365.5,green_club,0.000,0.018,0.980
1120.7,1365.5,green_club,0.000,0.018,0.980
1206.9,1365.5,green_club,0.000,0.018,0.980
1293.1,1365.5,green_club,0.000,0.018,0.980
1379.3,1365.5,green_club,0.000,0.017,0.980
1465.5,1365.5,green_club,0.000,0.017,0.980
1551.7,1365.5,green_club,0.000,0.019,0.980
1637.9,1365.5,green_club,0.000,0.019,0.980
1724.1,1365.5,green_club,0.000,0.019,0.980
1810.3,1365.5,green_club,0.000,0.025,0.980
1896.6,1365.5,green_club,0.000,0.043,0.966
1982.8,1365.5,green_club,0.000,0.023,0.980
2069,1365.5,race_to_bottom,0.500,0.511,0.490
2155.2,1365.5,race_to_bottom,1.000,0.995,0.025
2241.4,1365.5,race_to_bottom,1.000,0.996,0.033
2327.6,1365.5,race_to_bottom,1.000,0.991,0.031
2413.8,1365.5,race_to_bottom,1.000,0.995,0.038
2500,1365.5,race_to_bottom,1.000,0.997,0.015
0,1410.3,green_club,0.000,0.020,0.980
86.207,1410.3,green_club,0.000,0.017,0.980
172.41,1410.3,green_club,0.000,0.016,0.980
258.62,1410.3,green_club,0.000,0.018,0.980
344.83,1410.3,green_club,0.000,0.018,0.980
431.03,1410.3,green_club,0.000,0.018,0.980
517.24,1410.3,green_club,0.000,0.018,0.980
603.45,1410.3,green_club,0.000,0.018,0.980
689.66,1410.3,green_club,0.000,0.018,0.980
775.86,1410.3,green_club,0.000,0.018,0.980
862.07,1410.3,green_club,0.000,0.018,0.980
948.28,1410.3,green_club,0.000,0.018,0.980
1034.5,1410.3,green_club,0.000,0.018,0.980
1120.7,1410.3,green_club,0.000,0.018,0.980
1206.9,1410.3,green_club,0.000,0.018,0.980
1293.1,1410.3,green_club,0.000,0.018,0.980
1379.3,1410.3,green_club,0.000,0.018,0.980
1465.5,1410.3,green_club,0.000,0.017,0.980
1551.7,1410.3,green_club,0.000,0.018,0.980
1637.9,1410.3,green_club,0.000,0.020,0.980
1724.1,1410.3,green_club,0.000,0.019,0.980
1810.3,1410.3,green_club,0.000,0.016,0.980
1896.6,1410.3,green_club,0.000,0.031,0.974
1982.8,1410.3,green_club,0.250,0.263,0.741
2069,1410.3,green_club,0.250,0.279,0.727
2155.2,1410.3,race_to_bottom,0.500,0.507,0.507
2241.4,1410.3,race_to_bottom,1.000,0.995,0.035
2327.6,1410.3,race_to_bottom,1.000,0.996,0.033
2413.8,1410.3,race_to_bottom,1.000,0.993,0.031
2500,1410.3,race_to_bottom,1.000,0.995,0.028
0,1455.2,green_club,0.000,0.020,0.980
86.207,1455.2,green_club,0.000,0.017,0.980
172.41,1455.2,green_club,0.000,0.016,0.980
258.62,1455.2,green_club,0.000,0.018,0.980
344.83,1455.2,green_club,0.000,0.018,0.980
431.03,1455.2,green_club,0.000,0.018,0.980
517.24,1455.2,green_club,0.000,0.018,0.980
603.45,1455.2,green_club,0.000,0.018,0.980
689.66,1455.2,green_club,0.000,0.018,0.980
775.86,1455.2,green_club,0.000,0.018,0.980
862.07,1455.2,green_club,0.000,0.018,0.980
948.28,1455.2,green_club,0.000,0.018,0.980
1034.5,1455.2,green_club,0.000,0.018,0.980
1120.7,1455.2,green_club,0.000,0.018,0.980
1206.9,1455.2,green_club,0.000,0.018,0.980
1293.1,1455.2,green_club,0.000,0.018,0.980
1379.3,1455.2,green_club,0.000,0.018,0.980
1465.5,1455.2,green_club,0.000,0.017,0.980
1551.7,1455.2,green_club,0.000,0.017,0.980
1637.9,1455.2,green_club,0.000,0.019,0.980
1724.1,1455.2,green_club,0.000,0.018,0.980
1810.3,1455.2,green_club,0.000,0.016,0.980
1896.6,1455.2,green_club,0.000,0.020,0.980
1982.8,1455.2,green_club,0.000,0.022,0.980
2069,1455.2,green_club,0.000,0.021,0.980
2155.2,1455.2,race_to_bottom,0.500,0.518,0.500
2241.4,1455.2,race_to_bottom,0.500,0.510,0.500
2327.6,1455.2,race_to_bottom,1.000,0.995,0.038
2413.8,1455.2,race_to_bottom,1.000,0.991,0.032
2500,1455.2,race_to_bottom,1.000,0.993,0.031
0,1500,green_club,0.000,0.020,0.980
86.207,1500,green_club,0.000,0.020,0.980
172.41,1500,green_club,0.000,0.016,0.980
258.62,1500,green_club,0.000,0.018,0.980
344.83,1500,green_club,0.000,0.018,0.980
431.03,1500,green_club,0.000,0.018,0.980
517.24,1500,green_club,0.000,0.018,0.980
603.45,1500,green_club,0.000,0.018,0.980
689.66,1500,green_club,0.000,0.018,0.980
775.86,1500,green_club,0.000,0.018,0.980
862.07,1500,green_club,0.000,0.018,0.980
948.28,1500,green_club,0.000,0.018,0.980
1034.5,1500,green_club,0.000,0.018,0.980
1120.7,1500,green_club,0.000,0.018,0.980
1206.9,1500,green_club,0.000,0.018,0.980
1293.1,1500,green_club,0.000,0.018,0.980
1379.3,1500,green_club,0.000,0.018,0.980
1465.5,1500,green_club,0.000,0.018,0.980
1551.7,1500,green_club,0.000,0.017,0.980
1637.9,1500,green_club,0.000,0.017,0.980
1724.1,1500,green_club,0.000,0.019,0.980
1810.3,1500,green_club,0.000,0.019,0.980
1896.6,1500,green_club,0.000,0.019,0.980
1982.8,1500,green_club,0.000,0.023,0.980
2069,1500,green_club,0.000,0.023,0.980
2155.2,1500,green_club,0.000,0.022,0.980
2241.4,1500,race_to_bottom,0.500,0.506,0.506
2327.6,1500,race_to_bottom,1.000,0.993,0.036
2413.8,1500,race_to_bottom,1.000,0.994,0.037
2500,1500,race_to_bottom,1.000,0.993,0.021
