mu,lam,regime,p_rtb,h_ss,s_ss
0.17063,5,green_club,0.000,0.021,0.980
0.21653,5,green_club,0.250,0.267,0.735
0.27476,5,green_club,0.000,0.014,0.980
0.34867,5,green_club,0.250,0.268,0.735
0.44244,5,green_club,0.250,0.267,0.735
0.56144,5,green_club,0.250,0.264,0.735
0.71245,5,green_club,0.250,0.262,0.735
0.90407,5,green_club,0.250,0.267,0.735
1.1472,5,green_club,0.000,0.021,0.980
1.4558,5,green_club,0.250,0.265,0.735
1.8473,5,green_club,0.250,0.266,0.735
2.3442,5,green_club,0.250,0.268,0.735
2.9747,5,race_to_bottom,0.500,0.508,0.500
3.7748,5,race_to_bottom,0.500,0.502,0.513
4.7901,5,race_to_bottom,0.750,0.752,0.266
6.0784,5,race_to_bottom,1.000,0.998,0.031
7.7132,5,race_to_bottom,0.750,0.754,0.307
9.7878,5,race_to_bottom,0.750,0.750,0.278
12.42,5,race_to_bottom,1.000,0.970,0.070
15.761,5,race_to_bottom,0.500,0.657,0.345
20,5,green_club,0.000,0.179,0.788
